site,resolution,mode,model,seed,n_train,n_test,MAE,RMSE,R2,epochs,batch,train_s
CO,30,nowcast,PG-ResMLP,12,2358,590,1.5803320407867432,1.9920074381517088,0.9766805768013,150,35,18.5
CO,30,nowcast,PG-ResMLP,13,2358,590,1.6525143384933472,2.072519529501422,0.974757432937622,94,35,11.3
CO,30,nowcast,PG-ResMLP,14,2358,590,1.6157853603363037,2.046914952011994,0.975377321243286,200,35,23.5
CO,30,nowcast,PG-ResMLP,15,2358,590,1.572362780570984,1.9896614365617868,0.9767354726791382,133,35,16.4
CO,30,nowcast,PG-ResMLP,16,2358,590,1.5818367004394531,2.010721674365678,0.976240336894989,200,35,23.5
CO,30,nowcast,PG-ResMLP,17,2358,590,1.6293890476226809,2.0505456988979893,0.9752898812294006,29,35,3.8
CO,30,nowcast,PG-ResMLP,18,2358,590,1.6307611465454102,2.058419323359264,0.9750997424125672,194,35,22.4
CO,30,nowcast,PG-ResMLP,19,2358,590,1.6498147249221802,2.06902598588646,0.9748424887657166,29,35,4.1
CO,30,nowcast,LSTM,0,844,216,3.6245832443237305,4.3533966746451584,0.87520831823349,35,32,6.4
CO,30,nowcast,LSTM,1,844,216,2.9019243717193604,3.4276091723928905,0.922640860080719,47,32,7.9
CO,30,nowcast,LSTM,2,844,216,3.267005681991577,3.926907171991587,0.8984615802764893,38,32,6.7
CO,30,nowcast,LSTM,3,844,216,4.236414432525635,5.042624558596926,0.832566499710083,33,32,6.2
CO,30,nowcast,LSTM,4,844,216,2.8912060260772705,3.4028510537767374,0.923754334449768,55,32,9.1
CO,30,nowcast,LSTM,5,844,216,3.3013803958892822,3.958311756811397,0.8968310356140137,37,32,6.9
CO,30,nowcast,LSTM,6,844,216,3.2522192001342773,3.843014654516251,0.9027536511421204,40,32,7.0
CO,30,nowcast,LSTM,7,844,216,3.182030200958252,3.839635864715351,0.9029245972633362,40,32,7.0
CO,30,nowcast,LSTM,8,844,216,3.275631904602051,3.921998892115272,0.8987152576446533,38,32,6.8
CO,30,nowcast,LSTM,9,844,216,3.406538248062134,4.232995290600856,0.882015585899353,34,32,6.3
CO,30,nowcast,LSTM,10,844,216,2.986456871032715,3.565996829679217,0.9162680506706238,41,32,7.1
CO,30,nowcast,LSTM,11,844,216,2.299024820327759,2.7531970253917937,0.9500881433486938,85,32,7995.7
CO,30,nowcast,LSTM,12,844,216,3.278183460235596,4.003899342600749,0.8944409489631653,35,32,7.0
CO,30,nowcast,LSTM,13,844,216,3.5065488815307617,4.270201746442698,0.8799323439598083,34,32,7.3
CO,30,nowcast,LSTM,14,844,216,3.947965860366821,4.6135814029684585,0.8598459959030151,36,32,5.5
CO,30,nowcast,LSTM,15,844,216,2.885951280593872,3.4671070228784777,0.9208476543426514,41,32,5.9
CO,30,nowcast,LSTM,16,844,216,3.0155820846557617,3.570199376156779,0.9160705804824828,43,32,5.9
CO,30,nowcast,LSTM,17,844,216,3.412165641784668,4.171567298314296,0.8854150176048279,37,32,5.5
CO,30,nowcast,LSTM,18,844,216,2.904195785522461,3.636867171884029,0.91290682554245,37,32,5.3
CO,30,nowcast,LSTM,19,844,216,3.769038200378418,4.4357423121986574,0.8704427480697632,38,32,5.5
CO,30,forecast,PG-ResMLP,0,1889,481,2.422043800354004,3.5487368902089904,0.9214250445365906,57,32,5.7
CO,30,forecast,PG-ResMLP,1,1889,481,2.442727565765381,3.601397131973237,0.9190757870674132,58,32,5.6
CO,30,forecast,PG-ResMLP,2,1889,481,2.4399728775024414,3.580870528696358,0.9199956059455872,46,32,4.5
CO,30,forecast,PG-ResMLP,3,1889,481,2.45902943611145,3.5813670566994404,0.9199734330177308,49,32,4.7
CO,30,forecast,PG-ResMLP,4,1889,481,2.4398834705352783,3.534906435406753,0.9220362901687622,48,32,4.6
CO,30,forecast,PG-ResMLP,5,1889,481,2.476583242416382,3.5646421450310197,0.9207191467285156,39,32,3.8
CO,30,forecast,PG-ResMLP,6,1889,481,2.446505069732666,3.5651719630473133,0.9206955432891846,39,32,3.9
CO,30,forecast,PG-ResMLP,7,1889,481,2.32541823387146,3.4742334686784155,0.9246896505355836,143,32,12.7
CO,30,forecast,PG-ResMLP,8,1889,481,2.514153480529785,3.578061432252956,0.9201210737228394,39,32,3.9
CO,30,forecast,PG-ResMLP,9,1889,481,2.416041374206543,3.543609191142321,0.9216519594192504,44,32,4.3
CO,30,forecast,PG-ResMLP,10,1889,481,2.415710210800171,3.526449130175055,0.922408938407898,108,32,9.7
CO,30,forecast,PG-ResMLP,11,1889,481,2.406821012496948,3.559523426474477,0.9209466576576232,48,32,4.8
CO,30,forecast,PG-ResMLP,12,1889,481,2.423243761062622,3.5386914191320598,0.9218692779541016,67,32,6.2
CO,30,forecast,PG-ResMLP,13,1889,481,2.4940242767333984,3.5693688011482982,0.9205087423324584,43,32,4.2
CO,30,forecast,PG-ResMLP,14,1889,481,2.460110664367676,3.5386598875914634,0.9218706488609314,41,32,4.1
CO,30,forecast,PG-ResMLP,15,1889,481,2.3875951766967773,3.5139103077540184,0.9229596853256226,90,32,9.3
CO,30,forecast,PG-ResMLP,16,1889,481,2.4444775581359863,3.554934583188145,0.9211503267288208,46,32,6.2
CO,30,forecast,PG-ResMLP,17,1889,481,2.388627767562866,3.5401557092850995,0.9218046069145204,85,32,10.2
CO,30,forecast,PG-ResMLP,18,1889,481,2.461843490600586,3.537452853801884,0.9219239354133606,45,32,5.2
CO,30,forecast,PG-ResMLP,19,1889,481,2.406327247619629,3.508940449524344,0.9231774806976318,37,32,3.6
CO,30,forecast,LSTM,0,702,179,3.736902952194214,4.525866869092378,0.870612621307373,40,32,5.1
CO,30,forecast,LSTM,1,702,179,3.998366594314575,4.87847776341001,0.8496659994125366,36,32,4.8
CO,30,forecast,LSTM,2,702,179,3.898674249649048,4.700983821085582,0.8604062795639038,39,32,5.0
CO,30,forecast,LSTM,3,702,179,3.849110126495361,4.616515754592672,0.86537766456604,42,32,5.3
CO,30,forecast,LSTM,4,702,179,3.556201457977295,4.309663143580112,0.8826791644096375,42,32,5.3
CO,30,forecast,LSTM,5,702,179,3.7940690517425537,4.577220632131464,0.8676596879959106,40,32,5.2
CO,30,forecast,LSTM,6,702,179,4.079370021820068,4.984734501325628,0.8430459499359131,35,32,4.7
CO,30,forecast,LSTM,7,702,179,3.92966365814209,4.715457601337822,0.8595453500747681,34,32,4.6
CO,30,forecast,LSTM,8,702,179,3.170581102371216,3.8451631010903577,0.9066061973571776,58,32,6.8
CO,30,forecast,LSTM,9,702,179,3.8005576133728023,4.514899489254582,0.8712389469146729,43,32,5.4
CO,30,forecast,LSTM,10,702,179,3.808314800262451,4.596056715838598,0.8665682673454285,38,32,4.9
CO,30,forecast,LSTM,11,702,179,3.462512493133545,4.242616185680602,0.8863011598587036,44,32,5.5
CO,30,forecast,LSTM,12,702,179,3.419443130493164,4.156825893343184,0.8908529281616211,45,32,5.5
