hidden_size,source,target,seed,transfer_mae,scratch_mae,gain
64,FL,CO,7,4.807682991027832,2.2474379539489746,-2.5602450370788574
64,FL,CO,8,3.0014734268188477,2.192262649536133,-0.8092107772827148
64,FL,CO,9,2.5002777576446533,2.1804068088531494,-0.3198709487915039
64,FL,OR,0,2.4550578594207764,2.3355069160461426,-0.11955094337463379
64,FL,OR,1,2.2634007930755615,1.8227615356445312,-0.4406392574310303
64,FL,OR,2,3.1561625003814697,1.6381586790084839,-1.5180038213729858
64,FL,OR,3,2.624166250228882,2.4029955863952637,-0.22117066383361816
64,FL,OR,4,1.8268264532089233,1.596232295036316,-0.23059415817260742
64,FL,OR,5,2.1418426036834717,1.8063685894012451,-0.33547401428222656
64,FL,OR,6,2.380384683609009,2.856318950653076,0.4759342670440674
64,FL,OR,7,3.7609879970550537,1.8582431077957153,-1.9027448892593384
64,FL,OR,8,2.7100841999053955,2.4105937480926514,-0.29949045181274414
64,FL,OR,9,2.635148286819458,1.897748351097107,-0.7373999357223511
64,OR,CO,0,2.536261796951294,2.114039182662964,-0.4222226142883301
64,OR,CO,1,3.3078770637512207,2.916980028152466,-0.3908970355987549
64,OR,CO,2,5.8285417556762695,4.958606719970703,-0.8699350357055664
64,OR,CO,3,2.0767438411712646,2.1234023571014404,0.04665851593017578
64,OR,CO,4,2.7001750469207764,3.2210891246795654,0.5209140777587891
64,OR,CO,5,5.363925933837891,3.895231008529663,-1.4686949253082275
64,OR,CO,6,2.8489320278167725,3.435167074203491,0.5862350463867188
64,OR,CO,7,2.8007137775421143,2.4928719997406006,-0.30784177780151367
64,OR,CO,8,3.026270627975464,2.211834192276001,-0.8144364356994629
64,OR,CO,9,2.0678036212921143,1.988276481628418,-0.07952713966369629
64,OR,FL,0,1.9209421873092651,1.954580545425415,0.0336383581161499
64,OR,FL,1,4.234592914581299,6.204139232635498,1.9695463180541992
64,OR,FL,2,2.099142074584961,1.9622502326965332,-0.13689184188842773
64,OR,FL,3,3.035036563873291,2.8934431076049805,-0.14159345626831055
64,OR,FL,4,3.217770576477051,2.5015077590942383,-0.7162628173828125
64,OR,FL,5,3.057887554168701,2.0047733783721924,-1.0531141757965088
64,OR,FL,6,2.600562810897827,1.96720552444458,-0.6333572864532471
64,OR,FL,7,2.4491302967071533,2.2507381439208984,-0.19839215278625488
64,OR,FL,8,3.641767978668213,4.35543966293335,0.7136716842651367
64,OR,FL,9,2.683339834213257,2.5836739540100098,-0.09966588020324707
128,CO,FL,0,2.00299334526062,1.9739705324172974,-0.029022812843322754
128,CO,FL,1,4.4841485023498535,6.823235034942627,2.3390865325927734
128,CO,FL,2,2.1467182636260986,1.8758310079574585,-0.27088725566864014
128,CO,FL,3,2.60776424407959,2.750154733657837,0.14239048957824707
128,CO,FL,4,2.8023648262023926,2.887568473815918,0.08520364761352539
128,CO,FL,5,2.8924648761749268,3.4146342277526855,0.5221693515777588
128,CO,FL,6,2.120011806488037,1.9108333587646484,-0.20917844772338867
128,CO,FL,7,2.2008957862854004,2.556337356567383,0.3554415702819824
128,CO,FL,8,4.12443733215332,4.717067718505859,0.5926303863525391
128,CO,FL,9,2.5560755729675293,2.2403807640075684,-0.31569480895996094
128,CO,OR,0,2.0182201862335205,2.0717430114746094,0.05352282524108887
128,CO,OR,1,1.5200302600860596,1.591551661491394,0.07152140140533447
128,CO,OR,2,1.565366506576538,1.5817674398422241,0.016400933265686035
128,CO,OR,3,2.3711097240448,2.5400683879852295,0.1689586639404297
128,CO,OR,4,2.4648237228393555,2.8595848083496094,0.3947610855102539
128,CO,OR,5,1.548057198524475,1.6961246728897095,0.14806747436523438
128,CO,OR,6,6.135591506958008,5.187527179718018,-0.9480643272399902
128,CO,OR,7,4.349637031555176,7.677243709564209,3.327606678009033
128,CO,OR,8,2.656712532043457,2.6386990547180176,-0.018013477325439453
128,CO,OR,9,2.2461538314819336,2.351236343383789,0.10508251190185547
128,FL,CO,0,2.9518239498138428,3.336521863937378,0.38469791412353516
128,FL,CO,1,4.790043830871582,2.726689100265503,-2.063354730606079
128,FL,CO,2,6.930604457855225,2.9386444091796875,-3.991960048675537
128,FL,CO,3,2.6378636360168457,2.1482791900634766,-0.48958444595336914
128,FL,CO,4,3.178795337677002,2.1726369857788086,-1.0061583518981934
128,FL,CO,5,5.550387382507324,7.357104778289795,1.8067173957824707
128,FL,CO,6,2.9461722373962402,3.0496528148651123,0.10348057746887207
128,FL,CO,7,4.836015701293945,2.21838641166687,-2.617629289627075
128,FL,CO,8,3.345445156097412,2.5924229621887207,-0.7530221939086914
128,FL,CO,9,2.603039503097534,2.123627185821533,-0.479412317276001
128,FL,OR,0,2.635399103164673,2.4547061920166016,-0.1806929111480713
128,FL,OR,1,2.229548454284668,1.744471549987793,-0.485076904296875
128,FL,OR,2,2.8647360801696777,1.7432748079299927,-1.121461272239685
128,FL,OR,3,2.427600622177124,2.6062278747558594,0.17862725257873535
128,FL,OR,4,2.716130256652832,2.035689353942871,-0.6804409027099609
128,FL,OR,5,2.4810428619384766,1.8518636226654053,-0.6291792392730713
128,FL,OR,6,2.2901153564453125,3.302654981613159,1.0125396251678467
128,FL,OR,7,5.608550548553467,4.2830424308776855,-1.3255081176757812
