seed,alpha,method,band,n_cal,n_test,qhat,coverage,mean_width,test_MAE
10,0.05,mondrian,"[200,500)",3607,12362,5.09600830078125,0.9856819284905355,10.1920166015625,1.2705178260803223
10,0.05,mondrian,"[500,inf)",2774,21192,3.92828369140625,0.9572008305020763,7.8565673828125,1.2705178260803223
10,0.05,mondrian,all,9897,43096,,0.9730137367737145,8.313765169362844,1.2705178260803223
11,0.1,global,all,9897,43096,3.952986717224121,0.9638481529608316,7.905973434448242,1.3756680488586426
11,0.1,mondrian,"[0,200)",3516,9542,3.7924575805664062,0.9874240201215678,7.5849151611328125,1.3756680488586426
11,0.1,mondrian,"[200,500)",3607,12362,4.912136077880859,0.97840155314674,9.824272155761719,1.3756680488586426
11,0.1,mondrian,"[500,inf)",2774,21192,2.8010311126708984,0.8808984522461306,5.602062225341797,1.3756680488586426
11,0.1,mondrian,all,9897,43096,,0.9324531279005012,7.2522233046338185,1.3756680488586426
11,0.05,global,all,9897,43096,5.046543121337891,0.9849638017449416,10.093086242675781,1.3756680488586426
11,0.05,mondrian,"[0,200)",3516,9542,4.577205657958984,0.9935024103961434,9.154411315917969,1.3756680488586426
11,0.05,mondrian,"[200,500)",3607,12362,6.050050735473633,0.9896456883999353,12.100101470947266,1.3756680488586426
11,0.05,mondrian,"[500,inf)",2774,21192,3.5417633056640625,0.9416761041902605,7.083526611328125,1.3756680488586426
11,0.05,mondrian,all,9897,43096,,0.9669110822350102,8.981041003981924,1.3756680488586426
12,0.1,global,all,9897,43096,3.725198745727539,0.956051605717468,7.450397491455078,1.3604297637939453
12,0.1,mondrian,"[0,200)",3516,9542,3.3024253845214844,0.9664640536575142,6.604850769042969,1.3604297637939453
12,0.1,mondrian,"[200,500)",3607,12362,4.671102523803711,0.9744377932373403,9.342205047607422,1.3604297637939453
12,0.1,mondrian,"[500,inf)",2774,21192,2.7250595092773438,0.8788221970554927,5.4501190185546875,1.3604297637939453
12,0.1,mondrian,all,9897,43096,,0.9256543530722109,6.8222282132435,1.3604297637939453
12,0.05,global,all,9897,43096,4.717990875244141,0.9802069797661036,9.435981750488281,1.3604297637939453
12,0.05,mondrian,"[0,200)",3516,9542,4.067070007324219,0.9846992244812408,8.134140014648438,1.3604297637939453
12,0.05,mondrian,"[200,500)",3607,12362,5.845926284790039,0.9877851480342986,11.691852569580078,1.3604297637939453
12,0.05,mondrian,"[500,inf)",2774,21192,3.490825653076172,0.9419120422801057,6.981651306152344,1.3604297637939453
12,0.05,mondrian,all,9897,43096,,0.9645442732504177,8.587938554968089,1.3604297637939453
13,0.1,global,all,9897,43096,3.4022655487060547,0.9473501020976425,6.804531097412109,1.2722039222717285
13,0.1,mondrian,"[0,200)",3516,9542,2.924732208251953,0.9850136239782016,5.849464416503906,1.2722039222717285
13,0.1,mondrian,"[200,500)",3607,12362,4.135448455810547,0.9690179582591814,8.270896911621094,1.2722039222717285
13,0.1,mondrian,"[500,inf)",2774,21192,3.1595993041992188,0.9166194790486977,6.3191986083984375,1.2722039222717285
13,0.1,mondrian,all,9897,43096,,0.9467932058659736,6.7750342025459425,1.2722039222717285
13,0.05,global,all,9897,43096,4.276033401489258,0.9735938370150362,8.552066802978516,1.2722039222717285
13,0.05,mondrian,"[0,200)",3516,9542,3.4824981689453125,0.9926640117375812,6.964996337890625,1.2722039222717285
13,0.05,mondrian,"[200,500)",3607,12362,5.275890350341797,0.9861672868467886,10.551780700683594,1.2722039222717285
13,0.05,mondrian,"[500,inf)",2774,21192,3.9699649810791016,0.9557852019630049,7.939929962158203,1.2722039222717285
13,0.05,mondrian,all,9897,43096,,0.9726656766289214,8.473271390292824,1.2722039222717285
14,0.1,global,all,9897,43096,3.7946243286132812,0.9596482272136625,7.5892486572265625,1.3496578931808472
14,0.1,mondrian,"[0,200)",3516,9542,3.3177671432495117,0.9761056382309788,6.635534286499023,1.3496578931808472
14,0.1,mondrian,"[200,500)",3607,12362,4.864694595336914,0.9774308364342339,9.729389190673828,1.3496578931808472
14,0.1,mondrian,"[500,inf)",2774,21192,2.862201690673828,0.8910909777274443,5.724403381347656,1.3496578931808472
14,0.1,mondrian,all,9897,43096,,0.9346807128271766,7.0749613373492455,1.3496578931808472
14,0.05,global,all,9897,43096,4.833337783813477,0.9815528123259699,9.666675567626953,1.3496578931808472
