resolution,mode,model,seed,window,lag_min,n_train,n_test,MAE,RMSE,R2,epochs,batch,train_s
10,forecast,LSTM,3,6,0,20085,17478,1.4367046356201172,1.8787808763069624,0.9752092957496643,81,256,176.4
10,forecast,LSTM,4,6,0,20085,17478,1.517241358757019,1.957601072155059,0.9730856418609619,56,256,142.1
10,forecast,LSTM,5,6,0,20085,17478,1.47163724899292,1.9074998729100816,0.974445641040802,98,256,211.2
10,forecast,LSTM,6,6,0,20085,17478,1.4294476509094238,1.8758602711954748,0.9752863645553589,70,256,133.7
10,forecast,LSTM,7,6,0,20085,17478,1.436087727546692,1.8888110451770803,0.9749439358711243,99,256,163.9
10,forecast,LSTM,8,6,0,20085,17478,1.4520976543426514,1.896555906099833,0.9747380018234253,78,256,45.8
10,forecast,LSTM,9,6,0,20085,17478,1.428735613822937,1.8703023554910045,0.9754325747489929,83,256,48.0
10,forecast,Hybrid,0,6,0,20085,17478,1.4303745031356812,1.8989899384893445,0.9746731519699097,45,256,97.2
10,forecast,Hybrid,1,6,0,20085,17478,1.3969606161117554,1.8746721616875182,0.975317656993866,51,256,107.3
10,forecast,Hybrid,2,6,0,20085,17478,1.5250872373580933,2.0297395225242263,0.9710654616355896,33,256,70.3
10,forecast,Hybrid,3,6,0,20085,17478,1.4502979516983032,1.9672168635569744,0.9728205800056458,82,256,171.7
10,forecast,Hybrid,4,6,0,20085,17478,1.4424829483032227,1.9134675015893716,0.9742854833602905,48,256,100.8
10,forecast,Hybrid,5,6,0,20085,17478,1.3809781074523926,1.8391435914809504,0.976244330406189,70,256,144.6
10,forecast,Hybrid,6,6,0,20085,17478,1.4905399084091187,1.977091300098807,0.9725469946861267,48,256,100.0
10,forecast,Hybrid,7,6,0,20085,17478,1.4334256649017334,1.8922693337243934,0.9748520851135254,45,256,94.6
10,forecast,Hybrid,8,6,0,20085,17478,1.4594120979309082,1.9144949288309778,0.9742578864097595,37,256,78.6
10,forecast,Hybrid,9,6,0,20085,17478,1.4460529088974,1.9300036460960617,0.9738391041755676,55,256,115.4
5,nowcast,Faiman,-1,0,0,45296,39431,2.495441707682667,3.0982846918607008,0.9428245067357072,0,0,0.0
5,nowcast,PG-ResMLP,0,0,30,45296,39431,1.455188274383545,1.920258190855206,0.9780372381210327,200,256,32.7
5,nowcast,PG-ResMLP,1,0,30,45296,39431,1.4402399063110352,1.9169641415939058,0.978112518787384,200,256,34.3
5,nowcast,PG-ResMLP,2,0,30,45296,39431,1.4688868522644043,1.9491237701331894,0.9773719906806946,140,256,23.2
5,nowcast,PG-ResMLP,3,0,30,45296,39431,1.461222767829895,1.946881867667587,0.9774240255355835,200,256,32.7
5,nowcast,PG-ResMLP,4,0,30,45296,39431,1.4625440835952759,1.9340562055481951,0.9777204990386963,150,256,25.1
5,nowcast,PG-ResMLP,5,0,30,45296,39431,1.444146990776062,1.9210563714981803,0.9780189990997314,167,256,28.6
5,nowcast,PG-ResMLP,6,0,30,45296,39431,1.4740666151046753,1.9353132520736103,0.9776915311813354,151,256,25.1
5,nowcast,PG-ResMLP,7,0,30,45296,39431,1.4461487531661987,1.9143148450526024,0.978173017501831,113,256,18.9
5,nowcast,PG-ResMLP,8,0,30,45296,39431,1.4582511186599731,1.929927733753359,0.9778155088424683,200,256,33.0
5,nowcast,PG-ResMLP,9,0,30,45296,39431,1.4370405673980713,1.9118026783568147,0.9782302379608154,146,256,23.6
5,nowcast,LSTM,0,6,0,43196,37603,1.2751702070236206,1.652458024638859,0.9820517301559448,48,256,53.8
5,nowcast,LSTM,1,6,0,43196,37603,1.2952044010162354,1.6834596372501018,0.9813719391822815,46,256,60.9
5,nowcast,LSTM,2,6,0,43196,37603,1.385689377784729,1.772791404497744,0.979342520236969,36,256,43.3
5,nowcast,LSTM,3,6,0,43196,37603,1.2789350748062134,1.670591628301125,0.9816556572914124,65,256,74.8
5,nowcast,LSTM,4,6,0,43196,37603,1.2991957664489746,1.7131817873617066,0.9807083606719971,38,256,43.9
5,nowcast,LSTM,5,6,0,43196,37603,1.3206794261932373,1.7011211400837232,0.9809790253639221,43,256,50.9
5,nowcast,LSTM,6,6,0,43196,37603,1.3349990844726562,1.7193178799292068,0.9805698990821838,58,256,67.9
