seed,alpha,method,band,n_cal,n_test,qhat,coverage,mean_width,test_MAE
10,0.05,mondrian,"[500,inf)",2774,21192,3.6104984283447266,0.9454983012457531,7.220996856689453,1.383349061012268
10,0.05,mondrian,all,9897,43096,,0.968720994987934,9.14761649334123,1.383349061012268
11,0.1,global,all,9897,43096,3.775951385498047,0.9586272507889363,7.551902770996094,1.3613402843475342
11,0.1,mondrian,"[0,200)",3516,9542,3.604731559753418,0.9856424229721232,7.209463119506836,1.3613402843475342
11,0.1,mondrian,"[200,500)",3607,12362,4.63371467590332,0.9751658307717198,9.26742935180664,1.3613402843475342
11,0.1,mondrian,"[500,inf)",2774,21192,2.8282508850097656,0.8837297093242733,5.656501770019531,1.3613402843475342
11,0.1,mondrian,all,9897,43096,,0.9325227399294598,7.036134310460874,1.3613402843475342
11,0.05,global,all,9897,43096,4.761847496032715,0.9809031000556896,9.52369499206543,1.3613402843475342
11,0.05,mondrian,"[0,200)",3516,9542,4.337148666381836,0.992559211905261,8.674297332763672,1.3613402843475342
11,0.05,mondrian,"[200,500)",3607,12362,5.811540603637695,0.9885940786280537,11.62308120727539,1.3613402843475342
11,0.05,mondrian,"[500,inf)",2774,21192,3.6211013793945312,0.9431861079652699,7.2422027587890625,1.3613402843475342
11,0.05,mondrian,all,9897,43096,,0.9671431223315389,8.815932706001187,1.3613402843475342
12,0.1,global,all,9897,43096,3.6688919067382812,0.9561212177464266,7.3377838134765625,1.3237212896347046
12,0.1,mondrian,"[0,200)",3516,9542,3.2507171630859375,0.9805072311884301,6.501434326171875,1.3237212896347046
12,0.1,mondrian,"[200,500)",3607,12362,4.592292785644531,0.9754894030092218,9.184585571289062,1.3237212896347046
12,0.1,mondrian,"[500,inf)",2774,21192,2.7700576782226562,0.882314080785202,5.5401153564453125,1.3237212896347046
12,0.1,mondrian,all,9897,43096,,0.9307824392054947,6.798372419862551,1.3237212896347046
12,0.05,global,all,9897,43096,4.649070739746094,0.9800213476888806,9.298141479492188,1.3237212896347046
12,0.05,mondrian,"[0,200)",3516,9542,4.09608268737793,0.9915112135820583,8.19216537475586,1.3237212896347046
12,0.05,mondrian,"[200,500)",3607,12362,5.800010681152344,0.9887558647468048,11.600021362304688,1.3237212896347046
12,0.05,mondrian,"[500,inf)",2774,21192,3.557210922241211,0.9423367308418271,7.114421844482422,1.3237212896347046
12,0.05,mondrian,all,9897,43096,,0.9665398180805643,8.639733010372249,1.3237212896347046
13,0.1,global,all,9897,43096,3.3151512145996094,0.9447744570261741,6.630302429199219,1.2697118520736694
13,0.1,mondrian,"[0,200)",3516,9542,2.7428927421569824,0.9814504296793125,5.485785484313965,1.2697118520736694
13,0.1,mondrian,"[200,500)",3607,12362,4.112831115722656,0.9685325999029283,8.225662231445312,1.2697118520736694
13,0.1,mondrian,"[500,inf)",2774,21192,3.1552886962890625,0.9183182332955833,6.310577392578125,1.2697118520736694
13,0.1,mondrian,all,9897,43096,,0.9467003898273622,6.677296215425247,1.2697118520736694
13,0.05,global,all,9897,43096,4.258705139160156,0.9753109337293484,8.517410278320312,1.2697118520736694
13,0.05,mondrian,"[0,200)",3516,9542,3.3406643867492676,0.9910920142527772,6.681328773498535,1.2697118520736694
13,0.05,mondrian,"[200,500)",3607,12362,5.264215469360352,0.9875424688561721,10.528430938720703,1.2697118520736694
13,0.05,mondrian,"[500,inf)",2774,21192,4.012075424194336,0.9614949037372593,8.024150848388672,1.2697118520736694
13,0.05,mondrian,all,9897,43096,,0.9755197698162242,8.445180694269563,1.2697118520736694
14,0.1,global,all,9897,43096,3.269716262817383,0.9396231668832374,6.539432525634766,1.2958906888961792
14,0.1,mondrian,"[0,200)",3516,9542,2.5662002563476562,0.9674072521483965,5.1324005126953125,1.2958906888961792
14,0.1,mondrian,"[200,500)",3607,12362,4.0726470947265625,0.9681281346060508,8.145294189453125,1.2958906888961792
14,0.1,mondrian,"[500,inf)",2774,21192,3.1032943725585938,0.9110041525103812,6.2065887451171875,1.2958906888961792
14,0.1,mondrian,all,9897,43096,,0.9398784109894189,6.524863587077261,1.2958906888961792
14,0.05,global,all,9897,43096,4.216327667236328,0.9731297568219789,8.432655334472656,1.2958906888961792
14,0.05,mondrian,"[0,200)",3516,9542,3.1867008209228516,0.9848040243135611,6.373401641845703,1.2958906888961792
14,0.05,mondrian,"[200,500)",3607,12362,5.257804870605469,0.9864908590842906,10.515609741210938,1.2958906888961792
14,0.05,mondrian,"[500,inf)",2774,21192,3.875835418701172,0.9531898829747074,7.751670837402344,1.2958906888961792
14,0.05,mondrian,all,9897,43096,,0.96974197141266,8.239334844848054,1.2958906888961792
15,0.1,global,all,9897,43096,3.6178627014160156,0.9553322814182291,7.235725402832031,1.2994976043701172
15,0.1,mondrian,"[0,200)",3516,9542,3.3275928497314453,0.9877384196185286,6.655185699462891,1.2994976043701172
15,0.1,mondrian,"[200,500)",3607,12362,4.436185836791992,0.9738715418217117,8.872371673583984,1.2994976043701172
15,0.1,mondrian,"[500,inf)",2774,21192,2.9635086059570312,0.9011891279728199,5.9270172119140625,1.2994976043701172
15,0.1,mondrian,all,9897,43096,,0.9412010395396324,6.933111874141519,1.2994976043701172
15,0.05,global,all,9897,43096,4.5400390625,0.9783970670131799,9.080078125,1.2994976043701172
15,0.05,mondrian,"[0,200)",3516,9542,4.048360824584961,0.9936072102284637,8.096721649169922,1.2994976043701172
15,0.05,mondrian,"[200,500)",3607,12362,5.610950469970703,0.9881087202718006,11.221900939941406,1.2994976043701172
15,0.05,mondrian,"[500,inf)",2774,21192,3.794088363647461,0.9512080030200075,7.588176727294922,1.2994976043701172
15,0.05,mondrian,all,9897,43096,,0.9711806200111379,8.743101415462434,1.2994976043701172
16,0.1,global,all,9897,43096,3.823671340942383,0.96027473547429,7.647342681884766,1.3504027128219604
16,0.1,mondrian,"[0,200)",3516,9542,3.567117691040039,0.9821840285055544,7.134235382080078,1.3504027128219604
16,0.1,mondrian,"[200,500)",3607,12362,4.74578857421875,0.9767836919592299,9.4915771484375,1.3504027128219604
16,0.1,mondrian,"[500,inf)",2774,21192,2.774993896484375,0.8832106455266138,5.54998779296875,1.3504027128219604
16,0.1,mondrian,all,9897,43096,,0.931965843697791,7.0313971606039125,1.3504027128219604
16,0.05,global,all,9897,43096,4.85289192199707,0.9821097085576388,9.70578384399414,1.3504027128219604
16,0.05,mondrian,"[0,200)",3516,9542,4.377765655517578,0.9920352127436596,8.755531311035156,1.3504027128219604
16,0.05,mondrian,"[200,500)",3607,12362,5.873029708862305,0.9889985439249313,11.74605941772461,1.3504027128219604
16,0.05,mondrian,"[500,inf)",2774,21192,3.5054092407226562,0.9419592298980748,7.0108184814453125,1.3504027128219604
16,0.05,mondrian,all,9897,43096,,0.9665398180805643,8.755414227552398,1.3504027128219604
17,0.1,global,all,9897,43096,3.419078826904297,0.9469324299238908,6.838157653808594,1.2761515378952026
17,0.1,mondrian,"[0,200)",3516,9542,2.936748504638672,0.9844896248166003,5.873497009277344,1.2761515378952026
17,0.1,mondrian,"[200,500)",3607,12362,4.190328598022461,0.9691797443779324,8.380657196044922,1.2761515378952026
17,0.1,mondrian,"[500,inf)",2774,21192,3.1228256225585938,0.9131275953189883,6.2456512451171875,1.2761515378952026
17,0.1,mondrian,all,9897,43096,,0.9450064971227028,6.775673703047967,1.2761515378952026
17,0.05,global,all,9897,43096,4.339824676513672,0.9744059773528866,8.679649353027344,1.2761515378952026
17,0.05,mondrian,"[0,200)",3516,9542,3.5409250259399414,0.9919304129113393,7.081850051879883,1.2761515378952026
17,0.05,mondrian,"[200,500)",3607,12362,5.389097213745117,0.9871380035592946,10.778194427490234,1.2761515378952026
17,0.05,mondrian,"[500,inf)",2774,21192,3.943845748901367,0.9540392600981502,7.887691497802734,1.2761515378952026
17,0.05,mondrian,all,9897,43096,,0.9719231483200297,8.538402889574616,1.2761515378952026
