resolution,mode,model,seed,window,lag_min,n_train,n_test,MAE,RMSE,R2,epochs,batch,train_s
10,nowcast,PG-ResMLP,16,0,30,22425,19518,1.4312796592712402,1.865894588244716,0.9788357615470886,200,256,21.1
10,nowcast,PG-ResMLP,17,0,30,22425,19518,1.4102338552474976,1.8550703082680058,0.9790805578231812,200,256,21.4
10,nowcast,PG-ResMLP,18,0,30,22425,19518,1.4011887311935425,1.8534204360106938,0.979117751121521,200,256,21.4
10,nowcast,PG-ResMLP,19,0,30,22425,19518,1.3727012872695923,1.8149199280534007,0.9799762964248657,189,256,20.4
10,nowcast,LSTM,0,6,0,20455,17802,1.389548659324646,1.7911653112927741,0.9776411652565002,49,256,32.8
10,nowcast,LSTM,1,6,0,20455,17802,1.2848926782608032,1.6726782464581513,0.9805014133453369,64,256,42.5
10,nowcast,LSTM,2,6,0,20455,17802,1.2518612146377563,1.63565742842436,0.9813550114631653,94,256,62.2
10,nowcast,LSTM,3,6,0,20455,17802,1.288630723953247,1.6762921459295956,0.9804170727729797,85,256,56.3
10,nowcast,LSTM,4,6,0,20455,17802,1.314099669456482,1.7257980104101394,0.9792433381080627,66,256,44.2
10,nowcast,LSTM,5,6,0,20455,17802,1.2800921201705933,1.6746434615136165,0.9804555773735046,71,256,48.3
10,nowcast,LSTM,6,6,0,20455,17802,1.3188821077346802,1.7008862961941862,0.9798382520675659,75,256,51.2
10,nowcast,LSTM,7,6,0,20455,17802,1.2846105098724365,1.6831954166203091,0.9802554845809937,64,256,44.2
10,nowcast,LSTM,8,6,0,20455,17802,1.3614872694015503,1.7833551381759727,0.9778357148170471,55,256,38.1
10,nowcast,LSTM,9,6,0,20455,17802,1.3359860181808472,1.7474615214508775,0.9787189364433289,63,256,43.7
10,nowcast,LSTM,10,6,0,20455,17802,1.3164585828781128,1.726243624002116,0.9792326092720032,58,256,40.3
10,nowcast,LSTM,11,6,0,20455,17802,1.3299560546875,1.7075321675924695,0.9796803593635559,85,256,58.6
10,nowcast,LSTM,12,6,0,20455,17802,1.34989333152771,1.7447577022454086,0.9787847399711609,63,256,44.2
10,nowcast,LSTM,13,6,0,20455,17802,1.366624116897583,1.756358855325534,0.9785016775131226,70,256,49.2
10,nowcast,LSTM,14,6,0,20455,17802,1.327850103378296,1.727560315990658,0.9792008996009827,55,256,39.5
10,nowcast,LSTM,15,6,0,20455,17802,1.3531759977340698,1.7487201779203823,0.9786882996559143,72,256,51.2
10,nowcast,LSTM,16,6,0,20455,17802,1.3162927627563477,1.7009675245913296,0.9798363447189331,63,256,45.9
10,nowcast,LSTM,17,6,0,20455,17802,1.4104875326156616,1.7953050472147989,0.9775376915931702,52,256,37.5
10,nowcast,LSTM,18,6,0,20455,17802,1.3087762594223022,1.6959718046273837,0.9799546003341675,73,256,51.9
10,nowcast,LSTM,19,6,0,20455,17802,1.2484149932861328,1.6466367748317021,0.9811038374900818,98,256,69.3
10,forecast,PG-ResMLP,0,0,30,22001,19151,1.8700839281082153,2.343031099055268,0.9651418924331665,21,256,2.7
10,forecast,PG-ResMLP,1,0,30,22001,19151,1.8213251829147339,2.289919539791357,0.9667043089866638,21,256,2.7
10,forecast,PG-ResMLP,2,0,30,22001,19151,1.6845957040786743,2.1473120498565708,0.9707222580909729,22,256,2.8
10,forecast,PG-ResMLP,3,0,30,22001,19151,1.794612169265747,2.2685898947641947,0.9673216938972473,21,256,2.7
10,forecast,PG-ResMLP,4,0,30,22001,19151,1.7424522638320923,2.214680337680341,0.9688563346862793,21,256,2.7
10,forecast,PG-ResMLP,5,0,30,22001,19151,1.7419414520263672,2.2113438964022576,0.968950092792511,21,256,2.7
10,forecast,PG-ResMLP,6,0,30,22001,19151,1.7168148756027222,2.1898410803907535,0.9695510268211365,22,256,2.8
10,forecast,PG-ResMLP,7,0,30,22001,19151,1.7088011503219604,2.171430912859092,0.9700608253479004,22,256,2.8
10,forecast,PG-ResMLP,8,0,30,22001,19151,1.6972002983093262,2.1668117425716944,0.9701880812644958,22,256,2.8
10,forecast,PG-ResMLP,9,0,30,22001,19151,1.7276420593261719,2.201576933532575,0.9692237973213196,22,256,2.8
10,forecast,PG-ResMLP,10,0,30,22001,19151,1.7938295602798462,2.2702453855398947,0.9672739505767822,21,256,2.7
10,forecast,PG-ResMLP,11,0,30,22001,19151,1.843945026397705,2.316280676797623,0.9659333229064941,21,256,2.7
10,forecast,PG-ResMLP,12,0,30,22001,19151,1.6924183368682861,2.16722366313837,0.9701767563819885,22,256,2.8
10,forecast,PG-ResMLP,13,0,30,22001,19151,1.7357652187347412,2.197972759477198,0.9693244695663452,22,256,2.8
10,forecast,PG-ResMLP,14,0,30,22001,19151,1.8705575466156006,2.34288029111,0.9651463627815247,21,256,2.7
10,forecast,PG-ResMLP,15,0,30,22001,19151,1.7221709489822388,2.190745534587359,0.9695258736610413,22,256,2.8
10,forecast,PG-ResMLP,16,0,30,22001,19151,1.7012273073196411,2.174316132119481,0.9699811935424805,22,256,2.8
10,forecast,PG-ResMLP,17,0,30,22001,19151,1.6961393356323242,2.1655531613983827,0.9702227115631104,22,256,2.8
10,forecast,PG-ResMLP,18,0,30,22001,19151,1.692212700843811,2.16164453156412,0.9703301191329956,22,256,2.8
10,forecast,PG-ResMLP,19,0,30,22001,19151,1.6820592880249023,2.1564512297123555,0.9704724550247192,22,256,2.8
10,forecast,LSTM,0,6,0,20085,17478,1.4262826442718506,1.8690443183538874,0.9754655957221985,72,256,49.7
10,forecast,LSTM,1,6,0,20085,17478,1.4378752708435059,1.8693376873734757,0.9754579067230225,82,256,56.2
10,forecast,LSTM,2,6,0,20085,17478,1.469030499458313,1.9168156966720993,0.9741954207420349,64,256,44.6
