datetime,elapsed_sec,lux,GHI,T_ambient,RH,T_module,WS,T_Faiman,GHI_lag,Faiman_error,ALLSKY_SFC_SW_DWN,WS_source,T_Faiman_ws_real,Faiman_ws_real_error
2026-04-18 06:34:43.189,149683.189,2277.6,18.98,28.2,78.4,28.6,2.0,28.70532481363152,10.65,0.105324813631519,,fallback_2.0,28.70532481363152,0.10532481363151902
2026-04-18 06:35:43.189,149743.189,2368.7,19.739166666666662,28.2,78.4,28.7,2.0,28.72553691870785,10.9125,0.0255369187078464,,fallback_2.0,28.725536918707846,0.025536918707846468
2026-04-18 06:36:43.189,149803.189,1918.7,15.989166666666668,28.0,78.9,28.7,2.0,28.425696663116792,11.265833333333331,-0.2743033368832073,,fallback_2.0,28.425696663116792,-0.2743033368832073
2026-04-18 06:37:43.189,149863.189,1675.1,13.959166666666668,28.2,78.4,28.7,2.0,28.571649804756834,11.874166666666667,-0.1283501952431649,,fallback_2.0,28.571649804756834,-0.12835019524316493
2026-04-18 06:38:43.189,149923.189,2375.9,19.799166666666668,28.3,77.9,28.7,2.0,28.827134362797302,12.809166666666666,0.1271343627973031,,fallback_2.0,28.827134362797302,0.12713436279730317
2026-04-18 06:39:43.189,149983.189,2654.4,22.12,28.2,78.1,28.7,2.0,28.788924387646432,14.025833333333331,0.0889243876464327,,fallback_2.0,28.788924387646432,0.08892438764643273
2026-04-18 06:40:43.189,150043.189,2714.9,22.624166666666667,28.3,77.9,28.8,2.0,28.902347355342563,15.079166666666666,0.1023473553425624,,fallback_2.0,28.902347355342563,0.10234735534256245
2026-04-18 06:41:43.189,150103.189,2728.2,22.735,28.5,77.4,28.9,2.0,29.105298189563364,15.935,0.2052981895633649,,fallback_2.0,29.105298189563364,0.20529818956336499
2026-04-18 06:42:43.189,150163.189,2737.8,22.815,28.6,77.3,29.0,2.0,29.207428115015976,16.738333333333333,0.2074281150159755,,fallback_2.0,29.207428115015976,0.20742811501597558
2026-04-18 06:43:43.189,150223.189,2702.7,22.5225,28.7,77.0,29.1,2.0,29.29964057507987,16.749166666666667,0.1996405750798686,,fallback_2.0,29.29964057507987,0.19964057507986865
2026-04-18 06:44:43.189,150283.189,2669.0,22.241666666666667,28.8,76.7,29.2,2.0,29.39216364927228,15.7725,0.1921636492722775,,fallback_2.0,29.392163649272277,0.19216364927227758
2026-04-18 06:45:43.189,150343.189,2701.9,22.515833333333333,29.0,76.4,29.3,2.0,29.599463081292157,14.091666666666669,0.2994630812921528,,fallback_2.0,29.599463081292154,0.2994630812921528
2026-04-18 06:46:43.189,150403.189,2815.7,23.464166666666664,28.8,76.4,29.3,2.0,29.42471157259496,13.274166666666668,0.1247115725949576,,fallback_2.0,29.42471157259496,0.12471157259495769
2026-04-18 06:47:43.191,150463.191,2925.9,24.3825,28.8,76.4,29.3,2.0,29.449161341853035,13.2525,0.1491613418530342,,fallback_2.0,29.449161341853035,0.1491613418530342
2026-04-18 06:48:43.189,150523.189,3000.8,25.006666666666668,29.1,75.9,29.4,2.0,29.76577919772808,14.371666666666666,0.3657791977280809,,fallback_2.0,29.76577919772808,0.3657791977280809
2026-04-18 06:49:43.189,150583.189,3080.1,25.6675,29.0,75.9,29.5,2.0,29.68337326943557,15.479166666666666,0.1833732694355703,,fallback_2.0,29.68337326943557,0.1833732694355703
2026-04-18 06:50:43.189,150643.189,3139.3,26.160833333333333,29.0,76.1,29.6,2.0,29.69650780972666,16.455833333333334,0.0965078097266598,,fallback_2.0,29.69650780972666,0.09650780972665984
2026-04-18 06:51:43.189,150703.189,3292.6,27.438333333333333,29.2,75.6,29.6,2.0,29.930520056798013,16.8025,0.3305200567980115,,fallback_2.0,29.930520056798013,0.33052005679801155
2026-04-18 06:52:43.189,150763.189,3460.1,28.834166666666665,29.4,75.0,29.7,2.0,30.167682818601342,16.745833333333334,0.4676828186013466,,fallback_2.0,30.167682818601346,0.46768281860134664
2026-04-18 06:53:43.189,150823.189,3621.5,30.179166666666667,29.2,75.0,29.7,2.0,30.003492190273334,16.523333333333333,0.3034921902733387,,fallback_2.0,30.003492190273338,0.30349219027333874
2026-04-18 06:54:43.189,150883.189,3964.4,33.03666666666667,28.7,76.3,29.7,2.0,29.57957046503372,15.935833333333331,-0.1204295349662771,,fallback_2.0,29.579570465033722,-0.12042953496627717
2026-04-18 06:55:43.189,150943.189,4040.5,33.670833333333334,28.6,76.9,29.7,2.0,29.496454561590348,15.69,-0.2035454384096517,,fallback_2.0,29.496454561590348,-0.20354543840965178
2026-04-18 06:56:43.189,151003.189,4247.2,35.39333333333333,29.2,75.5,29.8,2.0,30.142314518991835,15.695833333333333,0.3423145189918344,,fallback_2.0,30.142314518991835,0.3423145189918344
2026-04-18 06:57:43.189,151063.189,4275.5,35.62916666666666,29.4,75.0,29.9,2.0,30.348593361732338,15.758333333333333,0.448593361732339,,fallback_2.0,30.348593361732338,0.448593361732339
2026-04-18 06:58:43.189,151123.189,4244.7,35.372499999999995,29.6,74.3,30.1,2.0,30.54175985090522,15.914166666666668,0.4417598509052176,,fallback_2.0,30.54175985090522,0.44175985090521763
2026-04-18 06:59:43.189,151183.189,4116.2,34.30166666666666,29.6,74.4,30.1,2.0,30.51324991125311,15.614166666666668,0.4132499112531071,,fallback_2.0,30.51324991125311,0.41324991125310717
2026-04-18 07:00:43.189,151243.189,3971.9,33.09916666666667,29.5,74.4,30.2,2.0,30.38123446929357,16.3175,0.1812344692935745,,fallback_2.0,30.381234469293574,0.18123446929357456
2026-04-18 07:01:43.189,151303.189,3828.7,31.90583333333333,29.5,74.4,30.2,2.0,30.349463081292157,16.593333333333334,0.1494630812921542,,fallback_2.0,30.349463081292154,0.14946308129215424
2026-04-18 07:02:43.189,151363.189,3747.6,31.23,29.0,75.9,30.2,2.0,29.8314696485623,17.2625,-0.3685303514376983,,fallback_2.0,29.8314696485623,-0.3685303514376983
2026-04-18 07:03:43.189,151423.189,3679.5,30.6625,29.0,76.1,30.2,2.0,29.81636048988285,18.139166666666664,-0.3836395101171455,,fallback_2.0,29.816360489882854,-0.3836395101171455
2026-04-18 07:04:43.189,151483.189,3691.5,30.7625,29.4,75.0,30.3,2.0,30.21902289669861,18.98,-0.0809771033013859,,fallback_2.0,30.219022896698615,-0.08097710330138597
2026-04-18 07:05:43.189,151543.189,3764.4,31.37,29.6,74.4,30.4,2.0,30.43519701810437,19.739166666666662,0.0351970181043697,,fallback_2.0,30.43519701810437,0.035197018104369704
2026-04-18 07:06:43.189,151603.189,3881.0,32.34166666666667,29.8,73.7,30.4,2.0,30.661066737664186,15.989166666666668,0.2610667376641835,,fallback_2.0,30.661066737664182,0.26106673766418353
2026-04-18 07:07:43.189,151663.189,3947.4,32.895,29.8,73.6,30.4,2.0,30.67579872204473,13.959166666666668,0.2757987220447297,,fallback_2.0,30.67579872204473,0.27579872204472977
2026-04-18 07:08:43.189,151723.189,3822.1,31.85083333333333,29.6,74.1,30.4,2.0,30.447998757543488,19.799166666666668,0.047998757543489,,fallback_2.0,30.447998757543488,0.047998757543489035
2026-04-18 07:09:43.189,151783.189,3623.3,30.194166666666668,29.5,74.6,30.4,2.0,30.303891551295703,22.12,-0.0961084487042924,,fallback_2.0,30.303891551295706,-0.09610844870429247
2026-04-18 07:10:43.189,151843.189,3341.4,27.845,28.6,76.6,30.3,2.0,29.341347177848775,22.624166666666667,-0.9586528221512224,,fallback_2.0,29.341347177848778,-0.9586528221512225
2026-04-18 07:11:43.189,151903.189,3162.8,26.35666666666667,28.3,77.9,30.1,2.0,29.00172168974086,22.735,-1.0982783102591398,,fallback_2.0,29.00172168974086,-1.0982783102591398
2026-04-18 07:12:43.189,151963.189,3101.1,25.8425,28.7,76.8,30.1,2.0,29.38803248136315,22.815,-0.7119675186368504,,fallback_2.0,29.38803248136315,-0.7119675186368504
2026-04-18 07:13:43.189,152023.189,2965.8,24.715,29.1,75.8,30.1,2.0,29.758013844515443,22.5225,-0.3419861554845589,,fallback_2.0,29.758013844515443,-0.3419861554845589
2026-04-18 07:14:43.189,152083.189,2557.8,21.315,29.1,75.8,30.1,2.0,29.667492012779554,22.241666666666667,-0.4325079872204469,,fallback_2.0,29.667492012779554,-0.4325079872204469
2026-04-18 07:15:43.189,152143.189,2922.6,24.355,29.2,75.5,30.1,2.0,29.8484291799787,22.515833333333333,-0.2515708200212998,,fallback_2.0,29.8484291799787,-0.2515708200212998
2026-04-18 07:16:43.189,152203.189,3095.0,25.791666666666668,29.3,75.4,30.1,2.0,29.986679091231807,23.464166666666664,-0.1133209087681947,,fallback_2.0,29.986679091231807,-0.11332090876819478
2026-04-18 07:17:43.189,152263.189,3149.8,26.24833333333333,29.4,75.1,30.1,2.0,30.09883741569045,24.3825,-0.0011625843095508,,fallback_2.0,30.09883741569045,-0.0011625843095508515
2026-04-18 07:18:43.189,152323.189,3212.1,26.7675,29.6,74.6,30.1,2.0,30.312659744408947,25.006666666666668,0.2126597444089455,,fallback_2.0,30.312659744408947,0.21265974440894553
